entity_key,class_name,display_name,package,module,extends,abstract,entity,schema,table,photo_adapter_required,existing_actions,custom_action_candidates,eligibility,eligibility_reason,source_path
ais.database.model.DetailLogLogin,DetailLogLogin,Detail Log Login,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,detail_log_login,False,ais\action\master\DetailLogLoginAction.java,onEvent,REVIEW_REQUIRED,nama mengindikasikan data transaksi/log/internal: Log; mempunyai aksi khusus existing,ais\database\model\DetailLogLogin.java
ais.database.model.DetailSettingBiaya,DetailSettingBiaya,Detail Setting Biaya,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,detail_setting_biaya,False,ais\action\master\helper\DetailSettingBiayaAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\DetailSettingBiaya.java
ais.database.model.Detailperkuliahan,Detailperkuliahan,Detailperkuliahan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,detailperkuliahan,False,ais\action\master\DetailperkuliahanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\Detailperkuliahan.java
ais.database.model.DiskonMahasiswa,DiskonMahasiswa,Diskon Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,diskon_mahasiswa,False,ais\action\master\DiskonMahasiswaAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\DiskonMahasiswa.java
ais.database.model.DokumenAkreditasi,DokumenAkreditasi,Dokumen Akreditasi,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,dokumen_akreditasi,False,ais\action\master\DokumenAkreditasiAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\DokumenAkreditasi.java
ais.database.model.Dosen,Dosen,Dosen,ais.database.model,root,ais.database.model.Karyawan,False,True,public,dosen,True,ais\action\master\DosenAction.java,onUploadRfid|onDownloadRfid|onEvent|onDataSK|onStatistik|onKegiatanKedosenan|onDataDosen|onKonfigurasiBiodataDosen|onUploadDBF|onDownloadFoto|onLaporanSkDosen|onLaporanPerDosen|onLaporanDosenHarian|onLaporanRuangDosen|onRekapDosenTetap|onRekapDosenTetapPerFakultasDanPerProdi|onLaporanRekapDosenPerFakultasDanPerProdi|onRekapDosenTidakTetap|onRekapJumlahDosen|onRekapJumlahDosenPerPendidikan|onDownloadFotoMassal|onUploadFotoMassal,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\Dosen.java
ais.database.model.DspaceLog,DspaceLog,Dspace Log,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,dspace_log,False,ais\action\master\DspaceLogAction.java,onEvent,REVIEW_REQUIRED,nama mengindikasikan data transaksi/log/internal: Log; mempunyai aksi khusus existing,ais\database\model\DspaceLog.java
ais.database.model.ErrorLog,ErrorLog,Error Log,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,error_log,False,ais\action\master\ErrorLogAction.java,onEvent,REVIEW_REQUIRED,nama mengindikasikan data transaksi/log/internal: Log; mempunyai aksi khusus existing,ais\database\model\ErrorLog.java
ais.database.model.Fakultas,Fakultas,Fakultas,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,fakultas,True,ais\action\master\FakultasAction.java,onEvent,REVIEW_REQUIRED,membutuhkan adapter foto; mempunyai aksi khusus existing,ais\database\model\Fakultas.java
ais.database.model.FasilitasRuangan,FasilitasRuangan,Fasilitas Ruangan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,fasilitas_ruangan,False,ais\action\master\FasilitasRuanganAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\FasilitasRuangan.java
ais.database.model.FeederLog,FeederLog,Feeder Log,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,feeder_log,False,ais\action\master\FeederLogAction.java,onEvent,REVIEW_REQUIRED,nama mengindikasikan data transaksi/log/internal: Log; mempunyai aksi khusus existing,ais\database\model\FeederLog.java
